Stad.;Country;Country new;Population;Reinforcements;Income;Port;Extra;rein new;Stad.,Land,Populatie,Versterkingen,Inkomen,Haven,Extra,
Agaléga Military base;India: Central;India;1000;4;11;;;;Agaléga Military base,India: Central,1000,4,11,,,
Andrott;India: South;India;13327;2;11;X;;;Andrott,India: South,13327,2,11,X,,
Bernice military base;Egypt;;5000;9;20;;;;Bernice military base,Egypt,5000,9,20,,,
Bosaso;Puntland;;450000;1;11;X;;;Bosaso,Puntland,450000,1,11,X,,
Bosaso Military Base;United Arab Emirates;;1500;8;11;X;;;Bosaso Military Base,United Arab Emirates,1500,8,11,X,,
Lakiun Military Camp;Singapore;;600;5;20;;;;Lakiun Military Camp,Singapore,600,5,20,,,
3rd of July Military Base;Egypt;;3000;9;11;X;;;3rd of July Military Base,Egypt,3000,9,11,X,,
Aalborg;Denmark;;122219;6;11;X;;;Aalborg,Denmark,122219,6,11,X,,
Abd Al-Kuri airbase;United Arab Emirates;;2000;5;11;;;;Abd Al-Kuri airbase,United Arab Emirates,2000,5,11,,,
Abeche;Chad;;74188;4;11;;;;Abeche,Chad,74188,4,11,,,
Abidjan;Côte d'Ivoire;;4757115;7;65;X;;;Abidjan,Côte d'Ivoire,4757115,7,65,X,,
Abkhazian Army base;Russia: Central;;500;4;11;;;;Abkhazian Army base,Russia: Central,500,4,11,,,
Abu Dhabi;United Arab Emirates;;1512000;10;69;X;;;Abu Dhabi,United Arab Emirates,1512000,10,69,X,,
Abu Dhabi Military base;France;;650;4;10;;;;Abu Dhabi Military base,France,650,4,10,,,
Abuja;Nigeria;;594567;7;69;;;;Abuja,Nigeria,594567,7,69,,,
Acapulco;Mexico;;1021000;6;20;X;;;Acapulco,Mexico,1021000,6,20,X,,
Accra;Ghana;;2637636;4;47;X;;;Accra,Ghana,2637636,4,47,X,,
Adana;Türkiye;;1537444;4;23;;;;Adana,Türkiye,1537444,4,23,,,
Addis Ababa;Ethiopia;;2757699;8;61;;;;Addis Ababa,Ethiopia,2757699,8,61,,,
Addu City;Maldives;;2000;1;11;X;;;Addu City,Maldives,2000,1,11,X,,
Adelaide;Australia: South;;1158259;6;122;X;;;Adelaide,Australia: South,1158259,6,122,X,,
Aden;Yemen;;863000;4;19;X;;;Aden,Yemen,863000,4,19,X,,
Agadez;Niger;;310000;1;11;;;;Agadez,Niger,310000,1,11,,,
Agadir;Morocco;;698310;6;11;X;;;Agadir,Morocco,698310,6,11,X,,
Agaléga Military airfield;India: Central;India;200;5;11;;;;Agaléga Military airfield,India: Central,200,5,11,,,
Agatti;India: South;India;10522;2;11;X;;;Agatti,India: South,10522,2,11,X,,
Ahmedabad;India: South West;India;3637336;8;60;;;;Ahmedabad,India: South West,3637336,8,60,,,
Ahvaz;Iran;;1184788;6;11;;;;Ahvaz,Iran,1184788,6,11,,,
Air Base Campo Grande;Brazil: Mato Grosso;;3500;7;11;;;;Air Base Campo Grande,Brazil: Mato Grosso,3500,7,11,,,
Air Base Karup;Denmark;;1000;8;11;;;;Air Base Karup,Denmark,1000,8,11,,,
Air force Station Bhatinda;India: Central;India;3500;8;11;;;;Air force Station Bhatinda,India: Central,3500,8,11,,,
